A. 业务细分年度汇总—全业务,,,,,,,,,,
📌 segment_code(8个); 2026批核=生效+issue_year=2026; 合计行达成率=合计批核APE÷合计目标APE,,,,,,,,,,
业务细分,目标APE,达成率,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,合计APE,合计件数
唯思,14650438,5574000,2461804,4794164,4154019,5473203,3643919,8102414,0,0,48853961
紫荆保险,9072840,5985820,4548000,6977940,4080000,2755703,2465142,3061500,390000,0,39336945
堡盛国际,10228200,5635900,1179000,4782600,312000,2231400,3847500,797400,0,0,29014000
万森保险,3369600,3001555,2583000,7704900,2783340,2881669,4896000,858000,609000,0,28687064
利泰丰,27143998,98311,0,482577,93568,0,0,0,46293,0,27864747
企鹅保险,2615100,3970800,3401940,4045200,292500,140400,4338000,2770200,195000,0,21769140
中天家办,1596000,0,411609,2481000,1155000,954158,3002340,2384910,3207000,0,15192017
宏鑫资产,12480000,0,0,0,0,0,0,0,0,0,12480000
万城保险,0,0,0,2064000,1236300,1626300,3498000,1616700,585000,0,10626300
臻略财富,234000,508560,1407000,0,390000,390000,1543500,1931400,117000,0,6521460
德方集团,780000,780000,0,780000,0,0,0,0,0,0,2340000
龙腾财富,885300,390000,0,0,171000,0,156000,390000,0,0,1992300
晋誉财富,1880455,0,0,0,0,0,0,0,0,0,1880455
卓樾会,1647000,0,0,0,0,0,0,0,0,0,1647000
富仕德,0,0,0,0,0,912000,247738,195000,0,0,1354738
太富,798000,0,0,0,0,0,0,0,0,0,798000
裕承资产,0,0,0,0,156000,0,0,609000,0,0,765000
巨蚁环球,0,0,0,0,0,0,390000,312000,0,0,702000
动力势能,0,0,0,0,0,570000,0,0,0,0,570000
共享经纪,156000,0,0,0,117000,11294,0,23106,0,0,307400
钜诚保险,25080,0,0,0,156000,0,0,0,0,0,181080
众安国际,117000,0,0,0,0,0,0,0,0,0,117000
时代保险,78000,0,0,0,0,0,0,0,0,0,78000
香港宜达,0,39815,0,0,0,0,0,0,0,0,39815
合计,87757011,25984761,19459543,43879807,36078145,38066767,52672769,55343622,13206393,0,372448818

N-件数. 月度批核业绩—同行 (件数),,,,,,,,,,,
📌 同N-APE；行顺序跟随APE子表,,,,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
天誉国际(MGA),0,0,7,7,17,33,55,58,15,0,192
天誉国际,0,0,4,21,25,25,24,28,9,0,136
唯思,34,13,11,18,14,20,14,19,0,0,143
紫荆保险,25,21,15,17,5,12,9,9,1,0,114
堡盛国际,27,15,4,12,1,4,12,3,0,0,78
万森保险,13,10,10,16,9,10,13,5,2,0,88
利泰丰,2,2,0,2,3,0,0,0,1,0,10
企鹅保险,11,14,18,12,1,2,10,10,1,0,79
中天家办,1,0,2,5,5,3,9,8,4,0,37
宏鑫资产,3,0,0,0,0,0,0,0,0,0,3
